symbol,bar_size,horizon,high_ofi_mean,high_ofi_t_stat,low_ofi_mean,low_ofi_t_stat,spread,ols_beta,ols_t_stat
EURUSD,1D,10,4.519207445555501e-05,0.0548953308159247,0.0008214410847192,0.8197725905657351,-0.000776249010263645,-0.000796913691095,-2.417564228682065
EURUSD,1H,2,3.2575754770700115e-05,1.7349064819750764,-1.606298113719538e-05,-0.7581664236233514,4.86387359078955e-05,5.439467248543833e-06,0.7180236009022288
EURUSD,1H,5,4.683063221658256e-05,1.4188870488583227,3.514911519005183e-05,1.0633101979482042,1.1681517026530732e-05,4.177050940459647e-06,0.352071218357303
EURUSD,1H,10,3.208625662227105e-05,0.6610815687065374,3.423840708464009e-05,0.6725819009076229,-2.152150462369041e-06,-2.2885302225727327e-06,-0.1372175105052628
EURUSD,2H,2,-1.5157383870154534e-05,-0.369166907920344,5.515231084361466e-05,1.3302879930135851,-7.03096947137692e-05,-1.9110347945342192e-06,-0.128657824687231
EURUSD,2H,5,-8.290033017321922e-05,-1.2145216432155534,6.401119644493585e-05,0.8856873464316881,-0.00014691152661815507,-2.0735237755547008e-05,-0.8887090156443603
EURUSD,2H,10,1.3900747115536718e-05,0.1380903193238722,9.977685489605812e-05,0.9703903374897742,-8.587610778052141e-05,-3.388363871510204e-05,-1.0413407090484683
EURUSD,4H,2,-3.77410718028313e-05,-0.4621998248483656,4.536760000570394e-06,0.0498030007279486,-4.22778318034017e-05,-1.7671144797175332e-05,-0.6095376070856934
EURUSD,4H,5,-3.428118931676486e-05,-0.257829199381369,-3.967152092840712e-05,-0.2792964982789682,5.3903316116422605e-06,-3.992667035026716e-05,-0.8852053166839516
EURUSD,4H,10,0.0002079949602729,1.056819475119782,-3.793329008750236e-05,-0.1865202101266558,0.00024592825036040235,-1.924513750173733e-05,-0.2998675209328039
EURUSD,8H,2,5.6511314747182414e-05,0.3460232312051278,6.896665608200817e-05,0.4096656959703452,-1.2455341334825756e-05,-4.63421096599244e-05,-0.8475467521822782
EURUSD,8H,5,0.0002802609836186,1.081654117380547,0.000142737402709,0.513075589949276,0.00013752358090959998,-5.886628783884037e-05,-0.6860674903595855
EURUSD,8H,10,0.0001595601545996,0.470162965533507,0.0005000933207987,1.26897594389284,-0.00034053316619909996,-0.0001545498379806,-1.2780467020303377
USDJPY,1D,2,0.0012600397479138,2.3988138989211025,3.3551425292015395e-05,0.0581482749018968,0.0012264883226217847,0.0002980362152107,1.5501262862108278
USDJPY,1D,5,0.0006927809458494,0.7140994683228601,0.0001340824984638,0.1478067695656204,0.0005586984473856001,0.0001735523156856,0.5867473032770278
USDJPY,1D,10,0.002184182719675,1.5790891188509073,0.0012241670248597,0.8866535570743851,0.0009600156948153,0.0001171222183093,0.2773590195654777
USDJPY,1H,2,1.3495975139655254e-05,0.5694619190009479,4.123952909215928e-06,0.1460870320272444,9.372022230439326e-06,3.3356017642350715e-06,0.3702569832165866
USDJPY,1H,5,0.0001002567840533,2.368049021165978,-1.9105785119207963e-05,-0.4502818309569167,0.00011936256917250795,1.7984779416496048e-05,1.2517330080877969
USDJPY,1H,10,0.0001679914332739,2.636945637781148,-7.151081287694654e-05,-1.172049848524393,0.00023950224615084656,3.339145592234941e-05,1.6423788383562683
USDJPY,2H,2,9.91164563231917e-05,1.7525115893352048,-5.109586362723175e-05,-0.8948716916598853,0.00015021231995042346,1.9247137424108907e-05,1.0700764011133557
USDJPY,2H,5,0.0001951031212582,2.0923797519851166,-5.476934916150004e-05,-0.6152999790929764,0.00024987247041970004,4.337627651060081e-05,1.521099405833396
USDJPY,2H,10,0.0002604230763381,1.944296790265152,-4.253723211369172e-06,-0.0323577572054611,0.00026467679954946915,4.683134769638657e-05,1.1568215088808096
USDJPY,4H,2,0.0001771825527857,1.6592590093453603,-4.805166886852528e-05,-0.4546937455593223,0.0002252342216542253,4.1974308826764e-05,1.177305449527119
USDJPY,4H,5,0.0004999400915653,2.821966254350557,4.342117974557868e-05,0.2456504227795238,0.0004565189118197213,8.53936350688156e-05,1.5100401229565596
USDJPY,4H,10,0.000792644661875,3.411725348873281,0.0002365484639755,0.9456181423507524,0.0005560961978995,0.0001237894124852,1.5437791553540925
USDJPY,8H,2,0.0002673441618815,1.2035108321474273,-4.258261461926881e-05,-0.2082619050520655,0.0003099267765007688,7.678637443280824e-05,1.1546659039086895
USDJPY,8H,5,0.0007153368996169,2.1434900328644853,0.0001867803390234,0.5137867023941888,0.0005285565605934999,0.0001728520059133,1.6483083618738088
USDJPY,8H,10,0.0014321070198928,3.3119422090809936,8.132830190561634e-05,0.1692277061913833,0.0013507787179871838,0.0003404418043928,2.342673053175019
XAGUSD,1D,2,-0.0013103046929652,-0.7753507239457517,-0.0019820207283592,-1.1873076285798525,0.000671716035394,-0.0001314467215764,-0.2553902078554753
XAGUSD,1D,5,0.0014576081089532,0.5321906782271536,-0.0035619333350148,-1.1461295902774338,0.005019541443968,0.0007120964188496,0.8715391564984009
XAGUSD,1D,10,0.00670209822246,1.675510942741987,0.0043094242213442,1.143372763280447,0.0023926740011158,0.0003381289572898,0.2992248322433784
XAGUSD,1H,2,-7.905807601098864e-09,-8.275274103211022e-05,-2.8338775692332417e-05,-0.3326778691653398,2.833086988473132e-05,-9.918694612034206e-06,-0.3288427781335307
XAGUSD,1H,5,0.0001091059926074,0.6979164504535526,5.716284612418918e-05,0.4243622062478402,5.1943146483210816e-05,-2.463284588277076e-05,-0.5202866431965308
XAGUSD,1H,10,0.0002407208166218,1.154309462978838,0.0005238250968421,2.6938956291196443,-0.0002831042802203,-7.72311486248383e-05,-1.1597837253236856
XAGUSD,2H,2,4.874453244808063e-05,0.2422902237127315,-9.826234491186906e-05,-0.6251302454461678,0.0001470068773599497,9.727573738314975e-06,0.1695834644411279
XAGUSD,2H,5,0.0002643489228708,0.8637640154243842,0.0005040392693492,1.9640754985342,-0.00023969034647840004,-0.0001107775803162,-1.2242174598879303
XAGUSD,2H,10,-0.0002115488077448,-0.4594327532976813,0.0013407378071642,3.3862615285815543,-0.001552286614909,-0.0004085831160003,-3.1604865338989567
