n_trades,n_long,n_short,mean_r,median_r,std_r,min_r,max_r,win_rate,avg_win_r,avg_loss_r,mean_mfe_r,median_mfe_r,mean_mae_r,median_mae_r,mean_bars_held,median_bars_held,mean_t_mfe,median_t_mfe,pct_stop,pct_hmax,pct_end_of_data,expectancy_r,sharpe_r,symbol,timeframe,data_bars,date_start,date_end
3328,1597,1731,0.21970288394421986,-0.2920037666563113,5.294243678616468,-101.9335347432021,116.47773279352124,0.057992788461538464,13.610505104942732,-0.60467505183017,2.2138531564496966,0.5118516184586306,-0.9668023683306833,-0.5790545158455405,16.23046875,2.0,9.21454326923077,1.0,0.9387019230769231,0.06099759615384615,0.00030048076923076925,0.21970288394421986,0.041498445723532375,ETHUSD,1H,61069,2017-12-11 23:00:00+00:00,2025-10-08 19:00:00+00:00
1620,731,889,0.24409021298920106,-0.3118817920590221,4.997846300770937,-84.58221024258768,67.8654970760234,0.06172839506172839,13.460177693054854,-0.6253892264888024,2.239620142916902,0.47278337123807435,-0.966097795732527,-0.6374802006876532,16.530864197530864,2.0,9.515432098765432,1.0,0.9358024691358025,0.06419753086419754,0.0,0.24409021298920106,0.04883907953542893,ETHUSD,2H,30698,2017-12-11 22:00:00+00:00,2025-10-08 18:00:00+00:00
761,367,394,0.4141460867804722,-0.27397260273972074,5.505103077534007,-39.37349397590362,59.24693520140097,0.06044678055190539,16.001265759506946,-0.5886616124438885,2.4299954522990737,0.4817518248175128,-0.9846924133871747,-0.6214331008243438,17.6215505913272,2.0,9.9526938239159,1.0,0.9356110381077529,0.06307490144546649,0.001314060446780552,0.4141460867804722,0.07522948815810142,ETHUSD,4H,15470,2017-12-11 20:00:00+00:00,2025-10-08 16:00:00+00:00
319,149,170,0.6794971331620357,-0.24118637622902148,5.31974023629234,-20.119165839126126,45.63464140730717,0.0877742946708464,13.307979312407692,-0.5356145541880619,2.840099269989612,0.6193969030154854,-0.9703073863737706,-0.59294117647059,20.981191222570533,2.0,13.231974921630094,1.0,0.9090909090909091,0.0877742946708464,0.003134796238244514,0.6794971331620357,0.12773126186244385,ETHUSD,8H,7826,2017-12-11 16:00:00+00:00,2025-10-08 16:00:00+00:00
107,52,55,1.2078255637160082,-0.20710681244743365,8.88432913863305,-13.334435990737678,80.90306194440524,0.08411214953271028,20.425630886961724,-0.557074925153496,3.492709743116001,0.43791795932437066,-0.9514182741975754,-0.5364626990779536,20.813084112149532,1.0,11.327102803738319,1.0,0.9065420560747663,0.08411214953271028,0.009345794392523364,1.2078255637160082,0.135950114507109,ETHUSD,1D,2711,2017-12-11 00:00:00+00:00,2025-10-08 00:00:00+00:00
65153,32770,32383,-0.005912032570691603,-0.3223909324206496,3.59402226664763,-80.29394274064113,111.05042296676015,0.0471965987751907,11.14950945651854,-0.5584897747490704,1.9117776629101983,0.5203042965820216,-0.9260013535821515,-0.6218496504129792,15.130922597578008,2.0,8.729759182232591,1.0,0.9490123248353874,0.05098767516461253,0.0,-0.005912032570691603,-0.0016449626997459108,XAUUSD,5min,1122010,2010-01-01 00:00:00+00:00,2025-10-09 13:55:00+00:00
22250,11188,11062,0.024201003004792124,-0.305236009709387,3.3714465958738074,-46.80339334047891,64.9283425046815,0.046831460674157305,11.60064336599741,-0.5445774269385456,1.8779917238985655,0.5029085920030281,-0.9044783013061293,-0.6150908329206608,14.761707865168539,2.0,8.769842696629214,1.0,0.9498876404494382,0.05006741573033708,4.4943820224719104e-05,0.024201003004792124,0.00717822522664629,XAUUSD,15min,374609,2010-01-01 00:00:00+00:00,2025-10-09 13:45:00+00:00
11065,5532,5533,0.03783226127519832,-0.2837710346358421,3.457332324716295,-46.770879392411224,122.80147974000928,0.045729778581111616,11.784773345673328,-0.5250953065537108,1.8439044362298496,0.4692919003547285,-0.8782061601834823,-0.5938363034308457,14.510799819249886,2.0,8.938906461816538,1.0,0.951558969724356,0.04835065521915951,9.03750564844103e-05,0.03783226127519832,0.010942616364859516,XAUUSD,30min,187657,2010-01-01 00:00:00+00:00,2025-10-09 13:30:00+00:00
5474,2740,2734,0.064354161499041,-0.2842349821563468,3.295436092315336,-16.901914727026856,58.32050239279704,0.04585312385823895,11.914708199169558,-0.5051344204376429,1.7919740066677814,0.4781911759317756,-0.8396380488356385,-0.5944452533038049,13.967848008768724,2.0,8.81457800511509,1.0,0.9528681037632444,0.046949214468396054,0.00018268176835951772,0.064354161499041,0.019528268701404703,XAUUSD,1H,94171,2010-01-01 00:00:00+00:00,2025-10-09 13:00:00+00:00
3129,1515,1614,0.0966824837660473,-0.28195742173258154,3.5413942515624357,-32.081184750597885,74.72602255314102,0.046021093000958774,12.490374166036661,-0.501204150152535,1.819076210711317,0.4483210934823445,-0.8429111424789917,-0.5903117283438978,13.51869606903164,2.0,8.636944710770214,1.0,0.9536593160754234,0.04634068392457654,0.0,0.0966824837660473,0.027300683543887195,XAUUSD,2H,48712,2010-01-01 00:00:00+00:00,2025-10-09 12:00:00+00:00
